Gene names;WT1 SN F;WT2 SN F;WT3 SN F;HET1 SN F;HET2 SN F;HET3 SN F;MUT1 SN F;MUT2 SN F;MUT3 SN F;WT1 SN M;WT2 SN M;WT3 SN M;HET1 SN M;HET2 SN M;HET3 SN M;MUT1 SN M;MUT2 SN M;MUT3 SN M; T-test Difference HET SN F vs WT SN F;-Log  T-test p-value HET SN F vs WT SN F; T-test q-value HET SN F vs WT SN F; T-test Difference MUT SN F vs WT SN F;-Log  T-test p-value MUT SN F vs WT SN F; T-test q-value MUT SN F vs WT SN F; T-test Difference HET SN M vs WT SN M;-Log  T-test p-value HET SN M vs WT SN M; T-test q-value HET SN M vs WT SN M; T-test Difference MUT SN M vs WT SN M;-Log  T-test p-value MUT SN M vs WT SN M; T-test q-value MUT SN M vs WT SN M; T-test significant;Peptides;Razor + unique peptides;Unique peptides;Sequence coverage [%];Unique + razor sequence coverage [%];Unique sequence coverage [%];Mol. weight [kDa];Q-value;Score;Intensity;MS/MS count;iBAQ;Protein IDs;Majority protein IDs;Protein names
Acot2;1,320289612;1,304303169;1,444446087;1,372184753;1,342681885;1,446119785;1,415636539;1,350037098;1,492295742;1,616831779;1,587361813;1,241954327;1,169466019;1,273434639;1,390686512;1,410223961;1,452280998;1,454702377;0,030649185;0,221712104;0,965880056;0,062976837;0,448340052;0,804098586;-0,204186916;0,681169908;0,751234234;-0,042980194;0,130297387;0,990928623;;9;9;2;25,2;25,2;5,7;49,656;0;29,38;968790000;12;40366000;Q9QYR9;Q9QYR9;Acyl-coenzyme A thioesterase 2, mitochondrial
Crip2;0,214706421;0,147364616;0,170166492;0,406963348;-0,026646614;0,398106098;0,280275822;0,664845943;0,546106815;0,497801781;0,364745617;-0,294748783;0,122833252;0,261092186;0,086487293;0,380512238;0,184632301;0,497229576;0,082061768;0,221614284;0,959110333;0,319663684;1,298214462;0,344761446;-0,032461961;0,044196724;0,968821983;0,1648585;0,249820957;0,965531178;;3;3;3;29,3;29,3;29,3;22,727;0;61,593;888500000;4;88850000;"Q9DCT8;A0A0G2JF37";Q9DCT8;Cysteine-rich protein 2
"Epb41;Epb4.1";0,431966782;1,483769417;0,460980892;0,826453209;0,457333565;0,469056606;0,484913349;0,466066837;0,853600025;0,551980019;0,520006657;0,353378773;0,835826874;0,758250237;0,671449184;0,907169342;0,710608482;0,691979408;-0,207957904;0,221321474;0,922717447;-0,190712293;0,19943614;0,795481481;0,280053616;1,6436842;0,67542515;0,294797262;1,47952477;0,984380952;;7;6;6;10,7;9,6;9,6;95,91;0;19,599;432540000;7;10059000;"P48193;A0A571BEG4;A2A839;A2A838;A2A841;A2A842;A2AD32;F6S4K9;F7BUB8;A0A1D5RLV1;F7CR30";"P48193;A0A571BEG4;A2A839;A2A838;A2A841;A2A842;A2AD32;F6S4K9;F7BUB8;A0A1D5RLV1";Protein 4.1
Lhpp;-2,474498749;-2,146156311;-2,817509174;-2,823521614;-2,049300194;-2,005717754;-1,984460354;-2,561028004;-2,655905247;-1,905080795;-2,514866352;-2,496163845;-1,922537804;-2,26192379;-2,199613094;-2,362377167;-1,984178543;-2,239336014;0,186541557;0,221242432;0,927697462;0,078923543;0,099091654;0,894568653;0,177345435;0,32234782;0,833513385;0,11007309;0,183089244;0,970752394;;1;1;1;3,3;3,3;3,3;29,144;0,0040692;1,3944;34192000;1;3108400;Q9D7I5;Q9D7I5;Phospholysine phosphohistidine inorganic pyrophosphate phosphatase
Prrt3;0,166404724;-0,50739193;0,0732131;0,030760765;0,117005348;-0,048268795;-0,21791029;-0,134875774;-0,040985584;0,032978058;-0,002483845;0,002533436;-0,039997101;-0,115200996;0,002297878;-0,281932831;0,171334267;0,100437164;0,122423808;0,220864615;0,944950758;-0,041999181;0,067578849;0,935836264;-0,061975956;0,792712874;0,861112813;-0,01439635;0,034469337;0,990830178;;3;3;3;6,9;6,9;6,9;101,22;0;15,548;271400000;4;7142100;"Q6PE13;A0A0N4SVB5";"Q6PE13;A0A0N4SVB5";Proline-rich transmembrane protein 3
Samd4b;-3,030796051;-2,997560501;-2,771822453;-2,816631317;-4,015604019;-2,695848942;-2,169632435;-2,251226902;-3,26210165;-3,755161285;-2,55775404;-3,385831356;-3,485868454;-2,294034958;-2,681421757;-2,353635788;-2,731328011;-3,304535866;-0,242635091;0,220468788;0,922236536;0,372406006;0,443546226;0,55907932;0,412473838;0,342442616;0,80164127;0,436415672;0,413129749;0,974661479;;1;1;1;2,2;2,2;2,2;74,993;0;3,6765;11284000;1;433990;G5E8A7;G5E8A7;
Prdx3;2,94510746;2,940304756;2,563764095;2,826277733;2,892609596;2,953389645;2,958053112;3,025954723;3,160512447;3,074114799;3,075054646;2,90879488;2,897256851;2,882655144;2,801206112;2,944830894;2,995020866;3,02901268;0,074366887;0,220365264;0,95504584;0,231781324;0,763822581;0,475647482;-0,158948739;1,189334801;0,748217968;-0,029699961;0,187859939;0,993042674;;9;9;9;52,1;52,1;52,1;28,127;0;106,27;11573000000;37;680760000;P20108;P20108;Thioredoxin-dependent peroxide reductase, mitochondrial
Rfk;-1,952877998;-2,576928139;-3,098539829;-3,556259155;-2,368006706;-2,545257092;-3,183331966;-5,057434559;-2,338958263;-3,04750824;-2,461116314;-2,736978054;-3,31981945;-2,81141758;-2,830769062;-3,290768623;-2,976801872;-2,432396889;-0,280392329;0,220035768;0,925904659;-0,983792941;0,49375887;0,46003937;-0,238801161;0,430201828;0,789893878;-0,151454926;0,191793207;0,964531758;;1;1;1;13,5;13,5;13,5;17,437;0;3,76;25583000;1;3654700;Q8CFV9;Q8CFV9;Riboflavin kinase
Carhsp1;-2,665090561;-1,647716522;-2,301987171;-1,944561958;-2,412272453;-1,621816158;-2,314627171;-2,0155797;-2,002189159;-2,029255867;-1,652443409;-2,745276928;-1,666978836;-1,939963341;-2,00509119;-1,836974144;-2,524622917;-1,538609505;0,212047895;0,219855541;0,92258642;0,094132741;0,108061775;0,885375746;0,271647612;0,332390664;0,819869354;0,175589879;0,15108127;0,969951264;;2;2;2;18,2;18,2;18,2;16,062;0;4,9004;386320000;3;55188000;Q9CR86;Q9CR86;Calcium-regulated heat stable protein 1
Acads;-0,267897606;-0,212758064;-0,354009151;-0,245438576;-0,251517296;-0,491320133;-0,4931674;-0,708044529;-0,35078764;-0,431056976;-0,561851978;-0,435968876;-0,388888359;-0,370654106;-0,360239506;-0,386533737;-0,511267662;-0,255330086;-0,051203728;0,219732381;0,959573872;-0,239111582;1,004533502;0,423961118;0,103031953;1,110896376;0,787091514;0,091915449;0,465534071;0,961398742;;4;4;4;14,8;14,8;14,8;44,889;0;19,289;137510000;4;6875400;Q07417;Q07417;Short-chain specific acyl-CoA dehydrogenase, mitochondrial
Ubxn4;-0,637942314;-0,292788506;-0,620662212;-0,321825027;-0,483623505;-0,528473377;-0,563904285;-0,497241497;-0,229305744;-0,511297226;-0,221479893;-0,82391119;-0,385544777;-0,777614594;-0,560268879;-0,450807571;-0,551539421;-0,53911972;0,072490374;0,219573904;0,953648444;0,086980502;0,223686686;0,830981376;-0,05557998;0,095720399;0,943468531;0,005073865;0,00944725;0,995624035;;3;3;3;11,7;11,7;11,7;56,471;0;17,162;132850000;4;7380800;"Q8VCH8;A0A0R4J078";"Q8VCH8;A0A0R4J078";UBX domain-containing protein 4
Mtatp8;-0,052767754;0,084625244;-0,08134985;-0,005177498;0,065256119;-0,013252735;0,02158308;-0,151937008;0,133065701;0,13492775;0,256878376;0,041281223;-0,122056961;0,125071526;0,259639263;0,151633263;0,12219429;0,030945778;0,032106082;0,219553501;0,965384453;0,017401377;0,061989324;0,959889277;-0,056811174;0,167392305;0,924438074;-0,042771339;0,232439121;0,986021319;;3;3;3;46,3;46,3;46,3;7,7662;0;5,5741;3139500000;7;1046500000;P03930;P03930;ATP synthase protein 8
Glyr1;-0,577584267;-0,842722893;-0,350878239;-0,584610939;-0,223564148;-0,637821674;-0,783195972;-0,67916441;-0,380928516;-0,610149384;-0,488100529;-0,587628841;-0,903672218;-0,564054489;-0,586767673;-0,498591423;-0,760159492;-0,818963051;0,108396212;0,219108787;0,951998152;-0,0240345;0,04401825;0,961423847;-0,122871876;0,457584285;0,837053696;-0,130611738;0,548418874;0,960961938;;4;4;4;9,7;9,7;9,7;59,715;0;4,8805;154720000;4;5730300;"Q922P9;D3YYT1";"Q922P9;D3YYT1";Putative oxidoreductase GLYR1
Slc44a2;1,407165527;1,271305084;1,144993305;1,444223404;1,439404488;1,148128986;1,269466877;1,23530817;1,175314426;1,148187637;1,295366764;1,275481701;1,196956635;1,349887848;1,234200954;1,12212944;1,222247124;1,166950226;0,069430987;0,218446897;0,956920383;-0,047791481;0,232937154;0,869062608;0,020669778;0,115238898;0,958530233;-0,069236437;0,564831609;0,968362187;;5;5;5;10,1;10,1;10,1;80,109;0;17,951;826090000;8;27536000;"Q8BY89;A0A1L1SVG6";"Q8BY89;A0A1L1SVG6";Choline transporter-like protein 2
Tenm3;-1,42395401;-1,351960182;-1,352616787;-1,527238846;-1,222660065;-1,565543652;-1,666004658;-1,895046711;-1,36092329;-1,652298927;-1,127790928;-1,936095715;-1,814656258;-1,299874306;-1,623901844;-1,971279144;-1,344976425;-1,474045753;-0,062303861;0,218398001;0,963528548;-0,264481227;0,778884958;0,453517241;-0,007415613;0,008699017;0,998161353;-0,024705251;0,027258674;0,991650497;;2;2;2;1,7;1,7;1,7;303,06;0;6,3488;88576000;2;686630;"Q9WTS6;B7ZNJ5;G3X907";"Q9WTS6;B7ZNJ5;G3X907";Teneurin-3
Ube2o;1,532619476;1,83650589;1,575213909;1,433319092;1,552054405;1,739714146;1,645411968;1,422667027;1,664479733;1,638629913;1,60380125;1,662548542;1,503396988;1,66999054;1,619916439;1,602258682;1,515062332;1,573420525;-0,073083878;0,218376584;0,953546487;-0,070593516;0,224892111;0,844879735;-0,037225246;0,287963983;0,926568821;-0,071412722;1,090068515;0,967702339;;13;13;13;16,3;16,3;16,3;140,83;0;57,125;1292400000;15;23932000;Q6ZPJ3;Q6ZPJ3;E2/E3 hybrid ubiquitin-protein ligase UBE2O
Cct5;2,934775352;2,918643951;2,783195972;2,931255341;2,839518547;2,969266415;2,90718317;2,76749754;2,900416851;2,785691261;2,939094067;2,928055286;2,720281601;2,831699371;2,889558315;2,961915016;2,711517334;2,894949913;0,034475009;0,217881743;0,96747907;-0,020505905;0,112322568;0,941671983;-0,070433776;0,429942649;0,877330788;-0,028152784;0,113927472;0,996357047;;16;16;16;47,5;47,5;47,5;59,623;0;110,7;4435400000;28;147850000;"P80316;E0CZA1";P80316;T-complex protein 1 subunit epsilon
Npm1;0,229172707;0,10896492;1,436862469;0,187807083;0,735878944;0,058535099;-0,098851681;-0,16260767;0,159598827;0,060077667;0,279195309;0,524567127;0,689221382;0,839049339;0,463048458;0,571722031;0,200835228;0,045948982;-0,264259656;0,217868221;0,923889303;-0,625620206;0,649684511;0,41175853;0,375826359;1,019535281;0,681658182;-0,015111287;0,024578911;0,989177886;;6;6;6;31,5;31,5;31,5;32,56;0;41,999;1498500000;7;124870000;"Q61937;Q5SQB0;Q9DAY9;Q5SQB5";"Q61937;Q5SQB0;Q9DAY9;Q5SQB5";Nucleophosmin
Micu3;0,724329948;0,62295723;0,380244732;0,699183464;0,41856575;0,900261402;0,85572958;0,72484827;0,878822803;0,726499557;0,672147274;0,763193607;0,431509018;0,355538368;0,616381168;0,543530464;0,726120949;0,799574852;0,096826235;0,217834871;0,95664347;0,243956248;1,015232417;0,416515;-0,252803961;1,436304811;0,691022901;-0,030871391;0,141984957;0,993613913;;7;7;7;16,8;16,8;16,8;59,809;0;14,977;408360000;9;14081000;"Q9CTY5;F6WMX7";"Q9CTY5;F6WMX7";Calcium uptake protein 3, mitochondrial
Micall1;-3,638121605;-2,479747772;-2,457336903;-2,869900703;-2,829256058;-2,09809351;-3,388739109;-2,398423672;-2,831848621;-2,285939217;-2,501072407;-2,473371983;-3,346664429;-2,26788044;-2,712643147;-3,398501396;-3,001608849;-2,348392487;0,25931867;0,217707402;0,922783898;-0,014601707;0,009939151;0,990948009;-0,35560147;0,482745738;0,749261803;-0,496039708;0,72409563;0,994939068;;1;1;1;1,6;1,6;1,6;94,078;0;4,5506;9826700;3;265590;"Q8BGT6;A0A2R8W6G4";"Q8BGT6;A0A2R8W6G4";MICAL-like protein 1
Tppp;3,253287315;3,262148857;3,123493671;3,432840347;3,174767494;3,190359592;3,472163677;3,379926205;3,209355831;3,402861595;3,297111988;3,086174488;3,1929636;3,06516552;3,119027615;3,454968452;3,384382248;3,61597538;0,05301253;0,217615058;0,961434169;0,140838623;0,723517278;0,597228162;-0,136330446;0,610465642;0,803875098;0,223059336;0,900118317;0,992266667;;10;10;10;49,5;49,5;49,5;23,574;0;79,917;13958000000;37;1268900000;Q7TQD2;Q7TQD2;Tubulin polymerization-promoting protein
Aqp1;-3,447851181;-2,332355499;-2,67139864;-2,167312622;-3,219700813;-2,277068615;-3,750122547;-2,525358677;-2,497261524;-3,315325737;-2,742659092;-3,992202282;-2,389494896;-3,048704147;-2,152575016;-2,248153687;-2,036595345;-2,596991539;0,262507757;0,217518272;0,922028617;-0,107045809;0,070862803;0,911297872;0,819804351;0,846418242;0,689053659;1,056148847;1,250857805;1;;1;1;1;7,4;7,4;7,4;28,793;0;24,564;119260000;1;19877000;Q02013;Q02013;Aquaporin-1
Pitpnm1;0,151806831;0,254836082;0,141635418;0,184318542;0,30070591;0,158252239;0,16710043;-0,204138279;-0,013343334;0,115179062;0,15792799;0,180636883;-0,298588753;0,068998337;0,058829784;0,220980644;-0,072144508;0,164422035;0,03166612;0,216921348;0,96544028;-0,199553172;0,816795755;0,493100949;-0,208168189;0,78469966;0,743013263;-0,046828588;0,195960029;0,98604152;;8;8;8;9,1;9,1;9,1;134,94;0;27,556;512360000;9;8833900;"O35954;A0A494BBA1;D3YXW5";O35954;Membrane-associated phosphatidylinositol transfer protein 1
Scoc;-0,626719475;-0,273313522;-0,450556278;-0,740069389;-0,79902935;-0,181936741;-0,39209795;-0,557287693;-0,588585377;-0,480790138;-0,779750347;-0,540764332;-0,970778465;-0,727450371;-0,922147274;-0,45413208;-0,450845718;-0,187801361;-0,123482068;0,216865125;0,94678622;-0,062460581;0,202754237;0,857668668;-0,273023764;1,090155536;0,677920844;0,236175219;0,865165395;0,989368675;;3;3;3;36,8;36,8;36,8;14,155;0;23,149;179700000;4;35941000;Q78YZ6;Q78YZ6;Short coiled-coil protein
Uba1;4,284203529;4,314543724;4,127119541;4,355134964;4,150610924;4,374119282;4,372018337;4,274699688;4,257297039;4,285975456;4,288422108;4,251474857;4,194588661;4,211976051;4,311212063;4,290373802;4,205286026;4,27449131;0,051332792;0,216661434;0,959487975;0,059382757;0,363626806;0,825344576;-0,036031882;0,398656466;0,922095024;-0,018573761;0,257275665;0,995850816;;35;35;35;51,3;51,3;51,3;117,81;0;294,1;26280000000;81;486670000;"Q02053;P31254";Q02053;Ubiquitin-like modifier-activating enzyme 1
Phb;3,306082726;3,363131523;3,068150043;3,249786377;3,199305534;3,507858753;3,355140209;3,352110386;3,440585613;3,334422112;3,380672932;3,22116518;3,055196762;3,35170269;3,3389678;3,345936775;3,482967377;3,496085167;0,073195457;0,216493806;0,952997063;0,136823972;0,65224968;0,616948202;-0,063464324;0,230957392;0,903912281;0,129576365;0,895735151;0,968411261;;16;16;16;75,4;75,4;75,4;29,82;0;130,99;14937000000;41;829810000;"P67778;Q5SQG5";"P67778;Q5SQG5";Prohibitin
Tmsb4x;1,016403198;1,269515038;1,056571484;1,352485657;1,150547028;1,040140629;1,284113407;1,783268452;1,365355015;1,378376007;1,207687855;0,596409321;1,111761093;1,051674843;1,275825977;1,464049339;1,245257378;1,496513367;0,066894531;0,215737649;0,960231118;0,363415718;0,982163973;0,365421429;0,085596244;0,127230573;0,926423754;0,341115634;0,611944353;0,99720332;;2;2;2;38;38;38;5,6794;0;5,7521;4518200000;4;1506100000;P20065;P20065;"Thymosin beta-4;Hematopoietic system regulatory peptide"
Ttc9;-0,931348801;-0,753024101;-0,964659214;-0,618898392;-0,547434807;-1,14883852;-0,464704037;-0,638813496;-0,609546185;-0,89460659;-0,813968182;-0,87017107;-0,720736504;-1,047720909;-0,779809475;-1,087834358;-0,958256721;-0,698102951;0,111286799;0,215490528;0,95211819;0,311989466;1,671029834;0,354301587;0,010159651;0,033175632;0,985577384;-0,055149396;0,179091241;0,982292528;;2;2;2;11,4;11,4;11,4;24,35;0;2,6222;84759000;3;7705400;Q3V038;Q3V038;Tetratricopeptide repeat protein 9A
Lrrc57;0,913451195;0,962339401;0,911296368;0,83215332;0,786590576;1,037206173;0,74638319;0,727301121;0,97151804;0,871576309;0,799491405;1,023460865;0,844213486;0,936824799;0,851225376;0,847290039;0,82183075;0,760145187;-0,043712298;0,215463524;0,962738577;-0,113961538;0,641630635;0,663561462;-0,020754973;0,103125799;0,960168979;-0,088420868;0,552267239;0,959920949;;8;8;8;43,1;43,1;43,1;26,76;0;32,837;1546600000;10;110470000;"Q9D1G5;A2AKH7;Q8JZX5;B0R031";"Q9D1G5;A2AKH7;Q8JZX5";Leucine-rich repeat-containing protein 57
Ak5;0,873414993;0,768521309;0,953881741;0,836791039;0,848438263;0,820376873;0,659072399;0,946404934;0,907728672;0,974949837;0,888020039;1,148904324;0,62146759;0,772830009;0,86572504;0,860480309;0,78633213;0,849469185;-0,030070623;0,215326657;0,966162799;-0,027537346;0,093812362;0,935987838;-0,250617186;1,126380742;0,678063882;-0,171864192;1,006744066;1;;10;10;10;24,6;24,6;24,6;63,322;0;36,627;1106600000;15;42560000;"Q920P5;A0A0G2JGN7";Q920P5;Adenylate kinase isoenzyme 5
Bag6;-0,403788567;0,056944847;-0,162513256;-0,20379734;-0,18901825;-0,354450703;-0,120003223;0,008999348;0,026052952;-0,278363228;0,112548351;-0,019222736;-0,310557365;-0,086797714;-0,138542652;-0,232930183;0,089327812;-0,265757561;-0,079303106;0,215286225;0,957636442;0,141468684;0,429561741;0,692864752;-0,116953373;0,366828217;0,841835165;-0,074774106;0,175832055;0,97508581;;6;6;6;8,3;8,3;8,3;121,04;0;11,536;227970000;6;7124100;"Q9Z1R2;G3UYQ2;G3UZT6;Q3UF95;A0A1B0GX81;G3UXT8;S4R224;G3UYZ0;G3V013;S4R183";"Q9Z1R2;G3UYQ2;G3UZT6;Q3UF95;A0A1B0GX81;G3UXT8";Large proline-rich protein BAG6
Ptpn11;0,507083893;0,599341393;0,323433399;0,403184891;0,371911049;0,504574299;0,419555187;0,566844463;0,47820425;0,51815033;0,504663944;0,389997005;0,16613102;0,472352028;0,410084248;0,445110321;0,286151886;0,432624817;-0,050062815;0,215123849;0,960437765;0,011581739;0,043069951;0,970473057;-0,121414661;0,523850223;0,825647059;-0,082974752;0,564799835;0,960402804;;8;8;8;17,2;17,2;17,2;68,034;0;28,446;787930000;12;20735000;P35235;P35235;Tyrosine-protein phosphatase non-receptor type 11
L2hgdh;-0,07545948;-0,269429207;-0,347677708;-0,341832161;-0,251517296;0,219048977;-0,078135967;-0,128355503;0,096494198;0,090084076;0,108329296;0,101721287;0,075827599;-0,003722191;-0,221562862;-0,082056999;-0,136185646;-0,300204277;0,106088638;0,214954828;0,953378428;0,194189707;0,852962077;0,488184188;-0,149864038;0,775527506;0,764876448;-0,272860527;1,844762132;1;;8;8;8;20,7;20,7;20,7;50,898;0;30,633;851300000;10;32742000;Q91YP0;Q91YP0;L-2-hydroxyglutarate dehydrogenase, mitochondrial
Ywhah;3,410344124;3,427905083;3,120434284;3,62389946;3,445364952;3,165634632;3,46929884;3,612195492;3,553275585;3,505841255;3,471365452;3,443682194;3,284373283;3,326420784;3,354144573;3,596905708;3,548084259;3,499567986;0,092071851;0,214861343;0,956600355;0,225362142;0,978164239;0,440940649;-0,15198342;2,303791981;0,678623853;0,074556351;1,050038401;0,972454545;;15;13;12;62,2;54,9;50,8;28,211;0;64,307;18117000000;51;1132300000;P68510;P68510;14-3-3 protein eta
Trim46;-1,028120041;-1,571782112;-1,1171031;-1,699958801;-1,231150627;-1,177708149;-1,684707165;-1,583806515;-1,669853687;-1,474931717;-2,1726861;-1,133399487;-2,257427216;-1,358522415;-1,647650242;-1,699877739;-1,198923111;-1,587118149;-0,130604108;0,214679145;0,945378263;-0,407120705;1,117837936;0,348273418;-0,160860856;0,147968828;0,899803172;0,098366102;0,103714004;0,988454855;;4;4;4;10,7;10,7;10,7;83,431;0;11,284;69927000;7;1626200;"Q7TNM2;D3YXA6;Q3TC52;E9PUI3";"Q7TNM2;D3YXA6;Q3TC52;E9PUI3";Tripartite motif-containing protein 46
Msi2;0,142858505;0,50669384;0,168147564;0,075861931;0,257235527;0,265142918;0,367967129;0,105205059;0,331514835;0,147544861;0,171540737;0,055378437;0,522045135;0,381182671;0,172272205;0,132077217;0,062602043;0,035863876;-0,073153178;0,214318063;0,952413216;-0,004337629;0,009976738;0,992778479;0,233678659;1,019453532;0,688992126;-0,047973633;0,453760067;0,970624492;;4;4;4;15;15;15;36,938;0;7,2954;252950000;5;21080000;"Q920Q6;Q61474;B1AT10;B1AT13;A0A0J9YTX9;A0A0J9YU67;F8WJA5";Q920Q6;RNA-binding protein Musashi homolog 2
Ppm1h;1,774224281;1,840612411;1,852235317;1,741155624;1,863832474;1,985412121;1,810463428;1,874974728;1,926148891;1,939481735;1,868607044;1,92600584;1,442137718;1,712931633;1,813630581;1,843300819;1,87663269;1,699782372;0,041109403;0,214078386;0,964205774;0,048171679;0,510224229;0,834612121;-0,255131563;1,060706381;0,680036866;-0,104792913;0,831414196;0,967558032;;9;9;9;30,6;30,6;30,6;56,379;0;44,59;1181200000;15;49215000;"Q3UYC0;E0CYP3";Q3UYC0;Protein phosphatase 1H
Srsf3;-0,899219513;-1,014698029;0,131168842;-1,031979561;-0,496492386;-0,913655758;-1,207443714;-0,789497852;-0,980020046;-1,427501678;-1,873442173;-0,703609943;-0,757655144;-0,855676651;-0,663444042;-1,315882683;-1,666234016;-1,696641922;-0,219793002;0,214043227;0,922695253;-0,398070971;0,445903542;0,553149059;0,575925986;0,767736204;0,686324484;-0,224734942;0,245312313;0,961099631;;2;1;1;18,9;10,4;10,4;19,329;0;3,9269;139120000;1;19874000;P84104;P84104;Serine/arginine-rich splicing factor 3
Kcnc4;-1,704696655;-1,141192436;-1,567920208;-1,325601578;-0,959751129;-1,683555126;-0,850516796;-1,346836567;-1,274462223;-1,424654007;-1,363478184;-1,498898983;-2,002112389;-1,680439949;-1,82631731;-1,687188148;-1,040418625;-1,551373482;0,148300489;0,213959692;0,936065542;0,313997904;0,6136807;0,482381036;-0,407279491;1,805510483;0,620444444;0,00268364;0,004376025;0,99780131;;1;1;1;2,9;2,9;2,9;68,655;0;5,4319;19492000;3;721920;"Q8R1C0;A0A571BG98";"Q8R1C0;A0A571BG98";Potassium voltage-gated channel subfamily C member 4
Smpd3;0,810917854;0,871164322;0,772512913;0,810157776;0,884497643;0,820927143;0,801990032;1,073626041;0,902342319;0,927268982;0,963665485;0,869751453;0,589838982;0,719286919;0,777973652;0,653997421;0,960824013;0,645240784;0,020329158;0,213896615;0,976125;0,107787768;0,568058544;0,694616667;-0,22452879;1,652584019;0,689413534;-0,166874568;0,710202308;0,976090305;;6;6;6;15,7;15,7;15,7;71,196;0;24,892;601400000;8;20047000;Q9JJY3;Q9JJY3;Sphingomyelin phosphodiesterase 3
Snrpa1;-4,927031517;-4,395142555;-3,177414417;-3,716698647;-4,103704453;-6,225386143;-3,751795292;NaN;-3,839789867;-3,29853344;-4,969606876;-4,074582577;-4,3850317;-4,233448029;-5,30630827;-3,983901024;-4,122428894;-4,547268867;-0,515400251;0,213811074;0,92657976;0,370736917;0,208824888;0,765287831;-0,527355035;0,37641302;0,771824497;-0,103625298;0,070889301;0,993047157;;1;1;1;5,5;5,5;5,5;28,357;0;3,5712;40573000;1;4057300;P57784;P57784;U2 small nuclear ribonucleoprotein A
Atp13a1;-2,440132141;-1,698410034;-2,269146442;-2,389533997;-1,983647346;-1,453688145;-2,106299877;-2,341591358;-2,039566517;-1,736156464;-2,338383198;-1,909863949;-1,458747864;-1,504873276;-1,791931629;-1,746201515;-1,866495132;-2,268270493;0,193606377;0,213754839;0,928689447;-0,026589712;0,037214875;0,964440854;0,409616947;0,924123002;0,697748344;0,034478823;0,049586295;0,989770614;;3;3;3;3,5;3,5;3,5;132,39;0;6,1461;88691000;3;1583800;"Q9EPE9;A0A571BD32";Q9EPE9;Manganese-transporting ATPase 13A1
Xpnpep1;0,743829727;0,868328094;0,566347599;0,801525116;0,5539217;0,634871006;0,509801388;0,369626522;0,22666502;0,466215134;0,670661449;0,62927103;0,598385811;0,768651009;0,621655941;0,976520538;0,789111137;0,751553535;-0,0627292;0,213709117;0,962342532;-0,35747083;1,391395994;0,359202847;0,074181716;0,379686194;0,87754644;0,250345866;1,257162254;1;;5;5;5;13,6;13,6;13,6;69,59;0;18,66;724520000;6;21309000;"Q6P1B1;A0A494BBG8;S4R1I3;Q3UE92";"Q6P1B1;A0A494BBG8;S4R1I3;Q3UE92";Xaa-Pro aminopeptidase 1
Asic1;-3,461357117;-2,556325912;-2,508788586;-2,502955437;-2,798568726;-4,254348278;-2,566056728;-3,034399509;-3,309265614;-3,504686356;-2,514078617;-3,451199055;-3,097639084;-3,287439346;-4,085662365;-3,570763588;-2,100585938;-2,659086227;-0,343133609;0,213599048;0,924401747;-0,127750079;0,123452816;0,867455301;-0,333592256;0,307919166;0,823815554;0,379842758;0,286107024;0,973678657;;2;2;2;4;4;4;59,667;0,0008269;2,1484;5021400;2;264280;Q6NXK8;Q6NXK8;Acid-sensing ion channel 1
Armc6;0,203083992;0,317051888;0,239120007;0,054005623;0,379104614;0,158966541;0,150170803;-0,164288044;0,177676678;0,03985405;0,198524952;0,477289677;-0,134141922;0,361364365;0,23504591;0,305821419;-0,047362328;0,454445839;-0,055726369;0,213053662;0,96032164;-0,198565483;0,799821664;0,501706985;-0,084466775;0,161893673;0,914097826;-0,000921249;0,001532129;0,998426016;;5;5;5;17,7;17,7;17,7;50,683;0;15,814;512510000;7;24405000;"Q8BNU0;D3Z3J0";"Q8BNU0;D3Z3J0";Armadillo repeat-containing protein 6
Mkl1;-1,29873848;-1,624420166;-0,876925945;-1,63669014;-1,469664574;-1,127102375;-1,198172092;-1,13825655;-1,066245556;-1,291347504;-0,916817188;-1,13031435;-1,326051712;-1,310530663;-0,992568493;-1,443238258;-0,801136017;-1,286385536;-0,144457499;0,212960626;0,937592717;0,132470131;0,237265978;0,790868301;-0,096890608;0,25005472;0,882306583;-0,06409359;0,104133876;0,989884574;;2;2;2;2,3;2,3;2,3;102,54;0;4,8035;11963000;2;385890;"Q8K4J6;D3YUG5;D3YUI2;A0A5F8MQ33;A0A668KL76";"Q8K4J6;D3YUG5;D3YUI2;A0A5F8MQ33;A0A668KL76";MKL/myocardin-like protein 1
Rpl36;0,813623428;0,881402016;0,884324551;0,686779976;0,970599174;0,779279232;0,777459621;0,955945492;0,996488094;0,785943031;0,932188511;0,984820843;0,580108643;0,892885208;0,825926304;0,874539375;0,689464569;0,94012928;-0,047563871;0,21291323;0,963488745;0,050181071;0,284467569;0,85549875;-0,13467741;0,528565253;0,813256574;-0,066273053;0,278179604;0,969033028;;3;3;3;30,5;30,5;30,5;12,254;0;5,1508;859100000;6;286370000;"Q6ZWZ4;P47964";"Q6ZWZ4;P47964";60S ribosomal protein L36
